"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
9,400,400,200,1,1.15038
16,400,400,200,1,1.31454
25,400,400,200,1,2.17916
36,400,400,200,1,7.15907
49,400,400,200,1,6.50126
64,400,400,200,1,7.89008
81,400,400,200,1,11.0926
100,400,400,200,1,12.1409
124,400,400,200,1,12.6844
4,100,100,200,1,0.551593
9,100,100,200,1,0.908751
16,100,100,200,1,1.32099
25,100,100,200,1,2.47548
36,100,100,200,1,3.6944
49,100,100,200,1,5.54254
64,100,100,200,1,6.89066
81,100,100,200,1,10.2313
100,100,100,200,1,11.8983
124,100,100,200,1,13.1444
4,200,200,200,1,0.615495
9,200,200,200,1,0.856793
16,200,200,200,1,1.26699
25,200,200,200,1,2.42523
36,200,200,200,1,3.86606
49,200,200,200,1,5.61229
64,200,200,200,1,7.16034
81,200,200,200,1,10.2633
100,200,200,200,1,12.6079
124,200,200,200,1,12.3524
4,400,400,200,1,1.01545
9,400,400,200,1,1.06123
16,400,400,200,1,1.26386
25,400,400,200,1,2.10943
36,400,400,200,1,3.7944
49,400,400,200,1,6.36648
64,400,400,200,1,7.80971
81,400,400,200,1,10.9468
100,400,400,200,1,12.3672
124,400,400,200,1,12.546
4,100,100,200,1,0.50902
9,100,100,200,1,0.702907
16,100,100,200,1,1.18496
25,100,100,200,1,2.25692
36,100,100,200,1,3.61838
49,100,100,200,1,5.81217
64,100,100,200,1,7.39922
81,100,100,200,1,10.1918
100,100,100,200,1,12.6567
124,100,100,200,1,12.1699
4,200,200,200,1,0.625649
9,200,200,200,1,0.840517
16,200,200,200,1,1.33393
25,200,200,200,1,2.07052
36,200,200,200,1,4.19682
49,200,200,200,1,5.9589
64,200,200,200,1,7.41063
81,200,200,200,1,10.6325
100,200,200,200,1,12.2077
124,200,200,200,1,12.842
4,400,400,200,1,1.03543
9,400,400,200,1,1.04491
16,400,400,200,1,1.34287
25,400,400,200,1,2.26147
36,400,400,200,1,3.79905
49,400,400,200,1,5.60644
64,400,400,200,1,7.35192
81,400,400,200,1,10.339
100,400,400,200,1,12.3084
124,400,400,200,1,13.8056
4,100,100,200,1,0.568406
9,100,100,200,1,0.780628
16,100,100,200,1,1.24202
25,100,100,200,1,2.28924
36,100,100,200,1,3.83132
49,100,100,200,1,5.4598
64,100,100,200,1,7.148
81,100,100,200,1,10.1229
100,100,100,200,1,12.8749
124,100,100,200,1,13.2782
4,200,200,200,1,0.646807
9,200,200,200,1,0.863965
16,200,200,200,1,1.26861
25,200,200,200,1,2.46658
36,200,200,200,1,4.04203
49,200,200,200,1,5.81411
64,200,200,200,1,7.53323
