"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
81,10000,10000,50,1,12.7331
100,10000,10000,50,1,11.7428
121,10000,10000,50,1,8.6416
16,1000,1000,50,1,0.54048
25,1000,1000,50,1,0.674287
36,1000,1000,50,1,0.613775
49,1000,1000,50,1,0.655395
64,1000,1000,50,1,0.551769
81,1000,1000,50,1,0.426951
100,1000,1000,50,1,0.420096
121,1000,1000,50,1,0.423369
16,2000,2000,50,1,1.33418
25,2000,2000,50,1,1.64527
36,2000,2000,50,1,1.60108
49,2000,2000,50,1,1.28834
64,2000,2000,50,1,1.09456
81,2000,2000,50,1,1.20599
100,2000,2000,50,1,0.839566
121,2000,2000,50,1,0.834615
16,5000,5000,50,1,7.09974
25,5000,5000,50,1,10.9501
36,5000,5000,50,1,8.84162
49,5000,5000,50,1,5.39163
64,5000,5000,50,1,4.28056
81,5000,5000,50,1,3.72017
100,5000,5000,50,1,2.85564
121,5000,5000,50,1,2.43283
16,10000,10000,50,1,34.0327
25,10000,10000,50,1,36.3954
36,10000,10000,50,1,27.2531
49,10000,10000,50,1,20.8216
64,10000,10000,50,1,16.4937
81,10000,10000,50,1,15.6437
100,10000,10000,50,1,15.8736
121,10000,10000,50,1,8.7277
16,1000,1000,50,1,0.547014
25,1000,1000,50,1,0.642413
36,1000,1000,50,1,0.598443
49,1000,1000,50,1,1.2202
64,1000,1000,50,1,0.546568
81,1000,1000,50,1,0.414465
100,1000,1000,50,1,0.433955
121,1000,1000,50,1,0.433234
16,2000,2000,50,1,1.36265
25,2000,2000,50,1,1.78123
36,2000,2000,50,1,1.5528
49,2000,2000,50,1,1.17915
64,2000,2000,50,1,1.12215
81,2000,2000,50,1,1.17983
100,2000,2000,50,1,0.901966
121,2000,2000,50,1,0.887136
16,5000,5000,50,1,7.54287
25,5000,5000,50,1,9.29193
36,5000,5000,50,1,6.95644
49,5000,5000,50,1,5.28582
64,5000,5000,50,1,4.49797
81,5000,5000,50,1,3.54092
100,5000,5000,50,1,2.94381
121,5000,5000,50,1,2.45958
16,10000,10000,50,1,31.5755
25,10000,10000,50,1,38.7778
36,10000,10000,50,1,27.2566
49,10000,10000,50,1,20.2501
64,10000,10000,50,1,17.2089
81,10000,10000,50,1,12.3345
100,10000,10000,50,1,10.3712
121,10000,10000,50,1,8.99363
16,1000,1000,50,1,0.591508
25,1000,1000,50,1,0.582697
36,1000,1000,50,1,0.646458
49,1000,1000,50,1,0.639785
64,1000,1000,50,1,0.53077
81,1000,1000,50,1,0.437531
100,1000,1000,50,1,0.450366
121,1000,1000,50,1,0.428031
16,2000,2000,50,1,1.28628
25,2000,2000,50,1,1.6039
36,2000,2000,50,1,1.45727
49,2000,2000,50,1,1.16129
64,2000,2000,50,1,1.1675
81,2000,2000,50,1,1.01913
100,2000,2000,50,1,0.912734
121,2000,2000,50,1,0.798891
